shot,dataset,verdict,selected_score,margin,confident,ocr_text_len,ocr_text
1__10CSW12612,stand-100,F,42.9,2.9,False,8,50-40-40
1__612104,stand-100,T,66.7,9.5,False,12,7X 20-20-000
1__C1775ST,stand-100,F,0.0,-66.7,False,0,
1__ESC0305,stand-100,F,66.7,4.2,False,16,9011-202 -1200 2
1__EZAS3021,stand-100,T,0.0,-53.3,False,0,
1__FG13160-0615-1S,stand-100,F,0.0,-53.3,False,0,
1__INC-11814-146,stand-100,F,50.0,-7.1,False,10,00-10-8202
1__M00345100950,stand-100,F,61.5,-5.1,False,7,9100 94
1__MC1715000,stand-100,F,72.7,-27.3,False,6,13 000
1__SSTD215STR,stand-100,F,0.0,-42.9,False,0,
2__10CSW12612,stand-100,F,66.7,0.0,False,2,ww
2__612104,stand-100,T,62.5,0.0,False,16,7X 20-50-0000 09
2__C1775ST,stand-100,F,0.0,-50.0,False,0,
2__ESC0305,stand-100,F,75.0,17.9,False,12,82-01-1202 7
2__EZAS3021,stand-100,F,50.0,11.9,False,4,O1 a
2__FG13160-0615-1S,stand-100,F,0.0,-62.5,False,0,
2__INC-11814-146,stand-100,T,40.0,0.0,False,7,9100 94
2__M00345100950,stand-100,F,61.5,-38.5,False,7,9100 94
2__MC1715000,stand-100,F,66.7,0.0,False,6,00.0 U
2__SSTD215STR,stand-100,F,0.0,-50.0,False,0,
3__10CSW12612,stand-100,T,0.0,-50.0,False,0,
3__612104,stand-100,F,62.5,0.0,False,19,VINVX 10-00-6200 82
3__C1775ST,stand-100,F,62.5,12.5,False,17,5oapin 52-00-4200
3__ESC0305,stand-100,F,62.5,0.0,False,20,SZ-N 22-60-8202 9100
3__EZAS3021,stand-100,F,66.7,16.7,False,4,2 01
3__FG13160-0615-1S,stand-100,F,0.0,-50.0,False,0,
3__INC-11814-146,stand-100,F,60.0,10.0,False,6,aWSr 二
3__M00345100950,stand-100,F,100.0,40.0,True,2,00
3__MC1715000,stand-100,F,0.0,-50.0,False,0,
3__SSTD215STR,stand-100,F,66.7,33.3,False,2,TX
4__10CSW12612,stand-100,F,66.7,16.7,False,2,ww
4__612104,stand-100,F,62.5,-4.2,False,17,VVINVS 10-00-6200
4__C1775ST,stand-100,F,57.1,3.8,False,23,5079540 241000 OS001WNd
4__ESC0305,stand-100,F,0.0,-66.7,False,0,
4__EZAS3021,stand-100,F,42.9,2.9,False,13,438 00.0 9221
