index,x_mm,y_mm,z_mm,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg
1,-502.267975,345.713226,436.003296,-2.924654,-1.425539,0.813576,-167.57033073605427,-81.67736823129985,46.614471113135465
2,-289.555847,440.18515,336.165039,-3.084011,-0.816148,0.477,-176.7008142719205,-46.76183585804311,27.330086827740267
3,-493.100555,-82.763908,158.671921,2.301892,-0.316841,-1.501693,131.8886964949281,-18.153652076704514,-86.04067102433913
4,-566.760803,-4.461854,294.046722,1.879195,-0.706381,-1.71878,107.66994238208673,-40.4726500282306,-98.47883991149564
5,-487.136475,462.972992,406.266541,-2.271669,-1.146757,1.311227,-130.15704615070422,-65.70433622708374,75.12777308360039
6,-285.89859,578.445801,224.320023,-2.574009,-0.475072,0.827889,-147.47985212868952,-27.219620564839044,47.43454560530621
7,-223.278656,536.816711,187.970612,-2.278087,-0.376229,0.642044,-130.52477046361918,-21.556333830427448,36.786411461697426
8,-555.094055,342.525024,436.647339,-2.458797,-1.444453,2.113962,-140.8786907794283,-82.7610606050103,121.12110065103452
9,-668.76593,168.128296,387.475952,1.921327,-1.09015,-2.406248,110.08392816453193,-62.46099403618669,-137.86785486179534
10,-683.4151,-42.900974,181.345718,1.95374,-0.40049,-2.013897,111.94105626588946,-22.94638673719434,-115.38779847405796
11,-321.046112,-37.936172,116.366425,2.389675,-0.207376,-1.046976,136.918291907925,-11.88176957230496,-59.98730605148887
12,-112.760521,312.582672,35.306366,1.459852,-0.037195,-0.01902,83.64335831373225,-2.131116518989097,-1.0897657263388256
13,-151.866196,488.78244,13.138123,1.669798,0.024495,0.416142,95.67237803938583,1.4034601191729514,23.843180278133104
14,-366.589203,626.733765,239.045334,3.06716,-0.514461,1.082289,175.73532309134558,-29.476444024079843,62.01059191343436
15,-160.884384,450.553162,151.935806,-2.354117,-0.276231,0.377494,-134.8809685799988,-15.826870470678243,21.6288129915115
16,-484.584229,361.180786,433.297638,-1.46239,-1.375925,1.017021,-83.78877500213646,-78.83469542653779,58.271010976174495
17,-300.238586,268.870026,365.744904,-0.379613,-0.987198,-0.108489,-21.75022274829972,-56.56227894375584,-6.215961823594788
18,-569.312683,295.624939,438.170227,2.976286,-1.456069,-3.054301,170.52862642387373,-83.42660837983426,-174.99855666258685
19,-738.610107,97.141739,315.337555,2.535731,-0.768907,-2.389247,145.28668428048775,-44.05512593806559,-136.8937693142934
20,-651.080139,387.319,414.354218,-2.782614,-1.186917,2.535352,-159.43203821401607,-68.00533473232913,145.2649691800523
21,-391.94696,-66.37397,138.035156,1.776247,-0.28565,-1.243386,101.77145647277393,-16.366539417911966,-71.24077010565338
22,-554.914062,-103.279854,86.181976,1.763517,-0.164526,-1.65873,101.0420811995724,-9.426645420169383,-95.03822835173504
23,-662.349487,-81.859955,93.326965,1.807998,-0.181239,-1.929451,103.59065476809381,-10.384229783171527,-110.5493990772962
24,-685.434143,17.022671,277.324036,1.786384,-0.668941,-2.098037,102.35226378969806,-38.3274960432608,-120.20866536228871
25,-120.856125,240.38205,43.919762,1.548909,-0.049662,-0.191587,88.74594854982884,-2.8454230021786944,-10.977126509572903
26,-143.804764,460.850983,51.125729,2.152283,-0.04907,0.352877,123.31673221775537,-2.8115039007069496,20.21836278723795
27,-206.45018,550.578491,119.909897,2.148052,-0.220379,0.616848,123.0743137746355,-12.626786593313568,35.3427870010858
28,-481.378906,553.144836,355.92218,-2.991218,-0.892463,1.357181,-171.38416700356308,-51.134363271583986,77.76074333534457
29,-585.596924,331.855042,435.702972,-3.049677,-1.397689,2.634337,-174.73362097811835,-80.08168077186052,150.93639191515473
30,-578.7771,-5.60332,293.536743,2.212333,-0.698508,-1.758081,126.75734377751596,-40.021560356124105,-100.73062134213929
31,-475.405243,54.307915,348.453278,2.403581,-0.882227,-1.397961,137.7150470178339,-50.54788367248808,-80.09726522388807
32,-327.126282,517.92926,323.238373,-1.667245,-0.768367,0.836559,-95.52610191428894,-44.02418621712852,47.93130001368464
33,-219.740921,449.538818,263.309296,-1.85189,-0.578309,0.450067,-106.10548112248202,-33.13466495443112,25.786939598114422
34,-371.958801,573.504639,304.244202,-1.518895,-0.707646,1.067704,-87.02627302352317,-40.54512918931465,61.174932969236046
35,-223.708466,359.028961,300.615601,-1.421643,-0.704522,0.207344,-81.4541438743169,-40.366137174115785,11.87993610736054
36,-475.841248,-97.127632,100.35643,1.607068,-0.20802,-1.461358,92.07821379053019,-11.918668054311386,-83.72964575767895
37,-498.024719,-31.072889,263.788849,-2.863847,-0.592058,-1.469127,-164.08634627120227,-33.92242462695649,-84.17477666871609
38,-334.123169,62.44199,294.038391,2.92169,-0.684226,-0.901923,167.4005060455775,-39.203262033118264,-51.67638134577775
39,-124.917488,296.095154,104.432961,2.064023,-0.186253,-0.055972,118.25980671793073,-10.671510821650122,-3.206959370906244
40,-246.012939,299.485229,323.540924,2.186522,-0.796683,-0.062245,125.27848241250379,-45.64657350982097,-3.566375795791809
41,-452.504883,183.160919,411.206543,2.733142,-1.177777,-1.029441,156.59750140994484,-67.48165130757957,-58.982624557726986
42,-616.789734,90.940979,369.416138,2.93768,-0.962353,-1.950989,168.31666555999166,-55.13876530175332,-111.78343557644897
43,-591.291443,39.954067,336.888702,-2.720772,-0.828373,-1.768186,-155.88875261736803,-47.46227676259054,-101.30959519411898
44,-456.034088,202.459793,416.823761,3.072362,-1.219253,-0.965185,176.03337573637265,-69.85805105866416,-55.30102694933436
45,-634.993591,353.855957,423.295624,3.094402,-1.271626,2.616106,177.29617471684097,-72.85880291910281,149.89183255885175
46,-193.196182,510.662384,156.416824,-2.338674,-0.281239,0.546011,-133.9961498569783,-16.11380773447976,31.284125867717595
47,-208.426758,419.500854,261.040497,-1.111362,-0.59543,0.378017,-63.67635211121819,-34.11562599547461,21.65877868419684
48,-487.626984,229.767502,430.377869,1.668657,-1.375666,-1.191378,95.60700355496141,-78.8198558196439,-68.26093120473699
49,-411.996979,512.699341,365.175781,-2.635303,-0.922195,1.030685,-150.99173963816438,-52.837881388066954,59.053900507441256
50,-527.545227,348.635132,438.035248,-2.327653,-1.435312,1.530774,-133.36469307096462,-82.23731988448121,87.70688958835909
51,-614.793396,5.568927,298.882751,1.958803,-0.728363,-1.888564,112.2311447975642,-41.732125853487176,-108.2067465403448
